Ìè-8ÌÒÂ-5 (ÒÂ3-117ÂÌ) G = 13000 H0 = 400 T = 15
0,00000 400,00000 0,00000 -4,00000 0,00000 45,00000 194,00000 1,00000 0,00000 0,00000 
3,80567 400,01127 3,80567 -3,76011 0,00000 45,00000 193,50745 1,23000 0,10000 0,23989 
7,60151 400,04501 7,60151 -3,51959 0,00000 45,00000 193,00526 1,23000 0,20000 0,48041 
11,38726 400,10117 11,38726 -3,27842 0,00000 45,00000 192,49350 1,23000 0,30000 0,72158 
15,16266 400,17969 15,16266 -3,03657 0,00000 45,00000 191,97221 1,23000 0,40000 0,96343 
18,92746 400,28050 18,92746 -2,79399 0,00000 45,00000 191,44147 1,23000 0,50000 1,20601 
22,68142 400,40354 22,68142 -2,55066 0,00000 45,00000 190,90131 1,23000 0,60000 1,44934 
26,42427 400,54875 26,42427 -2,30653 0,00000 45,00000 190,35180 1,23000 0,70000 1,69347 
30,15577 400,71606 30,15577 -2,06157 0,00000 45,00000 189,79298 1,23000 0,80000 1,93843 
33,87567 400,90541 33,87567 -1,81575 0,00000 45,00000 189,22490 1,23000 0,90000 2,18425 
37,58372 401,11672 37,58372 -1,56902 0,00000 45,00000 188,64760 1,23000 1,00000 2,43098 
41,27967 401,34994 41,27967 -1,32136 0,00000 45,00000 188,06113 1,23000 1,10000 2,67864 
44,96327 401,60500 44,96327 -1,07271 0,00000 45,00000 187,46553 1,23000 1,20000 2,92729 
48,63429 401,88181 48,63429 -0,82305 0,00000 45,00000 186,86083 1,23000 1,30000 3,17695 
52,29247 402,18032 52,29247 -0,57232 0,00000 45,00000 186,24707 1,23000 1,40000 3,42768 
55,93757 402,50045 55,93757 -0,32050 0,00000 45,00000 185,62428 1,23000 1,50000 3,67950 
59,56935 402,84213 59,56935 -0,06753 0,00000 45,00000 184,99249 1,23000 1,60000 3,93247 
63,18755 403,20528 63,18755 0,18662 0,00000 45,00000 184,35173 1,23000 1,70000 4,18662 
66,79193 403,58984 66,79193 0,44200 0,00000 45,00000 183,70203 1,23000 1,80000 4,44200 
70,38226 403,99571 70,38226 0,69865 0,00000 45,00000 183,04341 1,23000 1,90000 4,69865 
73,95829 404,42284 73,95829 0,95662 0,00000 45,00000 182,37589 1,23000 2,00000 4,95662 
77,51977 404,87114 77,51977 1,21595 0,00000 45,00000 181,69949 1,23000 2,10000 5,21595 
81,06645 405,34053 81,06645 1,47670 0,00000 45,00000 181,01423 1,23000 2,20000 5,47670 
84,59811 405,83093 84,59811 1,73890 0,00000 45,00000 180,32012 1,23000 2,30000 5,73890 
88,11449 406,34227 88,11449 2,00262 0,00000 45,00000 179,61717 1,23000 2,40000 6,00262 
91,61534 406,87445 91,61534 2,26790 0,00000 45,00000 178,90538 1,23000 2,50000 6,26790 
95,10044 407,42741 95,10044 2,53480 0,00000 45,00000 178,18478 1,23000 2,60000 6,53480 
98,56952 408,00105 98,56952 2,80336 0,00000 45,00000 177,45535 1,23000 2,70000 6,80336 
102,02235 408,59529 102,02235 3,07365 0,00000 45,00000 176,71710 1,23000 2,80000 7,07365 
105,45868 409,21005 105,45868 3,34572 0,00000 45,00000 175,97003 1,23000 2,90000 7,34572 
108,87826 409,84524 108,87826 3,61963 0,00000 45,00000 175,21414 1,23000 3,00000 7,61963 
112,28085 410,50077 112,28085 3,89545 0,00000 45,00000 174,44941 1,23000 3,10000 7,89545 
115,66621 411,17655 115,66621 4,17322 0,00000 45,00000 173,67584 1,23000 3,20000 8,17322 
119,03407 411,87249 119,03407 4,45302 0,00000 45,00000 172,89342 1,23000 3,30000 8,45302 
122,38421 412,58851 122,38421 4,73492 0,00000 45,00000 172,10213 1,23000 3,40000 8,73492 
125,71636 413,32450 125,71636 5,01897 0,00000 45,00000 171,30195 1,23000 3,50000 9,01897 
129,03028 414,08038 129,03028 5,30526 0,00000 45,00000 170,49286 1,23000 3,60000 9,30526 
132,32571 414,85606 132,32571 5,59385 0,00000 45,00000 169,67484 1,23000 3,70000 9,59385 
135,60240 415,65142 135,60240 5,88481 0,00000 45,00000 168,84785 1,23000 3,80000 9,88481 
138,86009 416,46639 138,86009 6,17823 0,00000 45,00000 168,01188 1,23000 3,90000 10,17823 
142,09854 417,30086 142,09854 6,47419 0,00000 45,00000 167,16689 1,23000 4,00000 10,47419 
145,31749 418,15472 145,31749 6,77276 0,00000 45,00000 166,31284 1,23000 4,10000 10,77276 
148,51667 419,02789 148,51667 7,07403 0,00000 45,00000 165,44968 1,23000 4,20000 11,07403 
151,69583 419,92025 151,69583 7,37809 0,00000 45,00000 164,57739 1,23000 4,30000 11,37809 
154,85470 420,83170 154,85470 7,68504 0,00000 45,00000 163,69591 1,23000 4,40000 11,68504 
157,99302 421,76213 157,99302 7,99496 0,00000 45,00000 162,80519 1,23000 4,50000 11,99496 
161,11053 422,71144 161,11053 8,30796 0,00000 45,00000 161,90518 1,23000 4,60000 12,30796 
164,20695 423,67952 164,20695 8,62413 0,00000 45,00000 160,99582 1,23000 4,70000 12,62413 
167,28202 424,66626 167,28202 8,94359 0,00000 45,00000 160,07705 1,23000 4,80000 12,94359 
170,33547 425,67154 170,33547 9,26644 0,00000 45,00000 159,14881 1,23000 4,90000 13,26644 
173,36701 426,69525 173,36701 9,59280 0,00000 45,00000 158,21103 1,23000 5,00000 13,59280 
176,37638 427,73727 176,37638 9,92278 0,00000 45,00000 157,26363 1,23000 5,10000 13,92278 
179,36328 428,79748 179,36328 10,25652 0,00000 45,00000 156,30654 1,23000 5,20000 14,25652 
182,32744 429,87577 182,32744 10,59413 0,00000 45,00000 155,33968 1,23000 5,30000 14,59413 
185,26858 430,97201 185,26858 10,93576 0,00000 45,00000 154,36297 1,23000 5,40000 14,93576 
188,18639 432,08607 188,18639 11,28154 0,00000 45,00000 153,37630 1,23000 5,50000 15,28154 
191,08059 433,21782 191,08059 11,63162 0,00000 45,00000 152,37959 1,23000 5,60000 15,63162 
193,95089 434,36714 193,95089 11,98615 0,00000 45,00000 151,37275 1,23000 5,70000 15,98615 
196,79697 435,53390 196,79697 12,34529 0,00000 45,00000 150,35565 1,23000 5,80000 16,34529 
199,61855 436,71794 199,61855 12,70922 0,00000 45,00000 149,32821 1,23000 5,90000 16,70922 
202,41530 437,91915 202,41530 13,07809 0,00000 45,00000 148,29029 1,23000 6,00000 17,07809 
205,18693 439,13737 205,18693 13,45210 0,00000 45,00000 147,24178 1,23000 6,10000 17,45210 
207,93310 440,37246 207,93310 13,83143 0,00000 45,00000 146,18256 1,23000 6,20000 17,83143 
210,65350 441,62427 210,65350 14,21630 0,00000 45,00000 145,11249 1,23000 6,30000 18,21630 
213,34781 442,89266 213,34781 14,60689 0,00000 45,00000 144,03144 1,23000 6,40000 18,60689 
216,01568 444,17745 216,01568 15,00345 0,00000 45,00000 142,93925 1,23000 6,50000 19,00345 
218,65680 445,47850 218,65680 15,40619 0,00000 45,00000 141,83579 1,23000 6,60000 19,40619 
221,27080 446,79564 221,27080 15,81536 0,00000 45,00000 140,72090 1,23000 6,70000 19,81536 
223,85735 448,12871 223,85735 16,23122 0,00000 45,00000 139,59440 1,23000 6,80000 20,23122 
226,41609 449,47752 226,41609 16,65404 0,00000 45,00000 138,45613 1,23000 6,90000 20,65404 
228,94666 450,84191 228,94666 17,08410 0,00000 45,00000 137,30591 1,23000 7,00000 21,00000 
231,45901 452,21176 231,45901 17,08410 0,00000 45,00000 136,86515 0,93305 7,10000 21,08410 
233,96335 453,57725 233,96335 17,08410 0,00000 45,00000 136,43136 0,93305 7,20000 21,08410 
236,45980 454,93844 236,45980 17,08410 0,00000 45,00000 136,00443 0,93305 7,30000 21,08410 
238,94849 456,29539 238,94849 17,08410 0,00000 45,00000 135,58427 0,93305 7,40000 21,08410 
241,42954 457,64818 241,42954 17,08410 0,00000 45,00000 135,17080 0,93305 7,50000 21,08410 
243,90308 458,99687 243,90308 17,08410 0,00000 45,00000 134,76391 0,93305 7,60000 21,08410 
246,36921 460,34153 246,36921 17,08410 0,00000 45,00000 134,36351 0,93305 7,70000 21,08410 
248,82807 461,68222 248,82807 17,08410 0,00000 45,00000 133,96951 0,93305 7,80000 21,08410 
251,27976 463,01900 251,27976 17,08410 0,00000 45,00000 133,58181 0,93305 7,90000 21,08410 
253,72441 464,35194 253,72441 17,08410 0,00000 45,00000 133,20034 0,93305 8,00000 21,08410 
256,16212 465,68110 256,16212 17,08410 0,00000 45,00000 132,82500 0,93305 8,10000 21,08410 
258,59300 467,00654 258,59300 17,08410 0,00000 45,00000 132,45570 0,93305 8,20000 21,08410 
261,01717 468,32832 261,01717 17,08410 0,00000 45,00000 132,09235 0,93305 8,30000 21,08410 
263,43474 469,64649 263,43474 17,08410 0,00000 45,00000 131,73486 0,93305 8,40000 21,08410 
265,84581 470,96113 265,84581 17,08410 0,00000 45,00000 131,38316 0,93305 8,50000 21,08410 
268,25049 472,27227 268,25049 17,08410 0,00000 45,00000 131,03715 0,93305 8,60000 21,08410 
270,64887 473,57999 270,64887 17,08410 0,00000 45,00000 130,69676 0,93305 8,70000 21,08410 
273,04107 474,88433 273,04107 17,08410 0,00000 45,00000 130,36189 0,93305 8,80000 21,08410 
275,42718 476,18536 275,42718 17,08410 0,00000 45,00000 130,03247 0,93305 8,90000 21,08410 
277,80730 477,48312 277,80730 17,08410 0,00000 45,00000 129,70841 0,93305 9,00000 21,08410 
280,18153 478,77766 280,18153 17,08410 0,00000 45,00000 129,38964 0,93305 9,10000 21,08410 
282,54997 480,06905 282,54997 17,08410 0,00000 45,00000 129,07607 0,93305 9,20000 21,08410 
284,91271 481,35733 284,91271 17,08410 0,00000 45,00000 128,76762 0,93305 9,30000 21,08410 
287,26984 482,64255 287,26984 17,08410 0,00000 45,00000 128,46423 0,93305 9,40000 21,08410 
289,62146 483,92477 289,62146 17,08410 0,00000 45,00000 128,16580 0,93305 9,50000 21,08410 
291,96765 485,20403 291,96765 17,08410 0,00000 45,00000 127,87227 0,93305 9,60000 21,08410 
294,30850 486,48038 294,30850 17,08410 0,00000 45,00000 127,58355 0,93305 9,70000 21,08410 
296,64411 487,75387 296,64411 17,08410 0,00000 45,00000 127,29958 0,93305 9,80000 21,08410 
298,97456 489,02454 298,97456 17,08410 0,00000 45,00000 127,02028 0,93305 9,90000 21,08410 
301,29993 490,29245 301,29993 17,08410 0,00000 45,00000 126,74558 0,93305 10,00000 21,08410 
303,62031 491,55763 303,62031 17,08410 0,00000 45,00000 126,47541 0,93305 10,10000 21,08410 
305,93578 492,82013 305,93578 17,08410 0,00000 45,00000 126,20969 0,93305 10,20000 21,08410 
308,24641 494,08001 308,24641 17,08410 0,00000 45,00000 125,94835 0,93305 10,30000 21,08410 
310,55230 495,33729 310,55230 17,08410 0,00000 45,00000 125,69133 0,93305 10,40000 21,08410 
312,85352 496,59203 312,85352 17,08410 0,00000 45,00000 125,43856 0,93305 10,50000 21,08410 
315,15014 497,84426 315,15014 17,08410 0,00000 45,00000 125,18997 0,93305 10,60000 21,08410 
317,44224 499,09402 317,44224 17,08410 0,00000 45,00000 124,94549 0,93305 10,70000 21,08410 
319,72990 500,34137 319,72990 17,08410 0,00000 45,00000 124,70505 0,93305 10,80000 21,08410 
322,01319 501,58633 322,01319 17,08410 0,00000 45,00000 124,46860 0,93305 10,90000 21,08410 
324,29219 502,82895 324,29219 17,08410 0,00000 45,00000 124,23607 0,93305 11,00000 21,08410 
